        PosP R         PosP T         PosP N         VelP R         VelP T         VelP N        X E Cov        Y E Cov 
     1.3002224     -0.6150310     -2.0412473     -0.2697468      1.7401177      0.7428748      3.3864112      2.7062516 
     1.3002224     -0.6150310     -2.0412473      0.3122645      1.0707520     -0.0940861      3.4957719      2.6517585 
     1.3002224     -0.6150310     -2.0412473     -0.7626383      0.9556161      1.1556141      3.3065745      2.7519686 
     1.3002224     -0.6150310     -2.0412473     -1.2403553      1.3051345      2.1248312      3.1876253      2.8318049 
     1.3002224     -0.6150310     -2.0412473      0.4650196      0.4329045      1.4884300      3.2133336      2.8131904 
     1.3002224     -0.6150310     -2.0412473     -0.0570234     -0.4124871      0.2012705      3.4048530      2.6964497 
     1.3002224     -0.6150310     -2.0412473     -0.9483128     -1.1361858      0.5735687      3.3329240      2.7362582 
     1.3002224     -0.6150310     -2.0412473     -0.7276903     -0.5385989     -0.5658896      3.5684107      2.6198872 
     1.3002224     -0.6150310     -2.0412473     -0.4538511      0.5040608     -1.0181424      3.6832383      2.5752998 
     1.3002224     -0.6150310     -2.0412473      0.5075865      0.9643706     -2.6888306      4.0615895      2.4648018 
     1.3002224     -0.6150310     -2.0412473     -0.4353617      0.3708653     -1.0213981      3.6804467      2.5763088 
     1.3002224     -0.6150310     -2.0412473     -0.1549746      1.0584077     -1.8669112      3.8763270      2.5130755 
     1.3002224     -0.6150310     -2.0412473     -1.4835649      0.3714950     -0.7886224      3.6596941      2.5839207 
     1.3002224     -0.6150310     -2.0412473     -0.1186653     -0.3797580      3.0564587      2.9835619      3.0150542 
     1.3002224     -0.6150310     -2.0412473      0.6131484      1.3089935      2.0364415      3.1663236      2.8478659 
     1.3002224     -0.6150310     -2.0412473     -0.5060998     -0.2681431      1.5545776      3.1960849      2.8255891 
     1.3002224     -0.6150310     -2.0412473     -0.0708575      0.4169852     -0.2606735      3.5174303      2.6419257 
     1.3002224     -0.6150310     -2.0412473      1.6988659     -1.3155329      1.4944459      3.1180335      2.8865993 
     1.3002224     -0.6150310     -2.0412473      0.0808478     -0.9884230     -1.4179509      3.7252979      2.5605075 
     1.3002224     -0.6150310     -2.0412473      0.1111379      0.0866533      1.5665786      3.1957791      2.8258122 
     1.3002224     -0.6150310     -2.0412473      0.2907973     -0.0877765     -0.7423335      3.5899657      2.6110083 
     1.3002224     -0.6150310     -2.0412473     -1.3736164     -0.3149914      0.0516799      3.4683549      2.6646350 
     1.3002224     -0.6150310     -2.0412473     -1.3564792     -0.3101441      2.2935804      3.1051839      2.8974904 
