        PosP R         PosP T         PosP N         VelP R         VelP T         VelP N        X S Cov        Y S Cov 
     0.2867629     -0.8583538     -0.0113182     -0.9017423      0.7625437     -1.0134157      2.7892370      2.6908114 
     0.2867629     -0.8583538     -0.0113182     -0.7144279      0.2609359      1.7597763      2.5043128      3.0930362 
     0.2867629     -0.8583538     -0.0113182      0.7336281     -0.7238736     -0.9524260      2.8026333      2.6779303 
     0.2867629     -0.8583538     -0.0113182     -0.3774333      0.1788057     -1.3641180      2.8422441      2.6419081 
     0.2867629     -0.8583538     -0.0113182      0.0764847     -0.7311128      0.0922180      2.6720009      2.8217860 
     0.2867629     -0.8583538     -0.0113182      0.1277367     -0.6869018      0.3085786      2.6470738      2.8547027 
     0.2867629     -0.8583538     -0.0113182      1.6222729     -0.3782165     -3.1036174      3.1234990      2.4514274 
     0.2867629     -0.8583538     -0.0113182     -0.5604022      0.9914590     -0.5960507      2.7382592      2.7434407 
     0.2867629     -0.8583538     -0.0113182     -0.1078823      0.3836573     -0.6315848      2.7482656      2.7326310 
     0.2867629     -0.8583538     -0.0113182      1.3859695      0.6237200     -2.1690831      2.9439660      2.5615217 
     0.2867629     -0.8583538     -0.0113182     -0.2564538     -0.9402704     -2.3845876      3.0205172      2.5103746 
     0.2867629     -0.8583538     -0.0113182     -0.6280603      0.5037364      0.0099545      2.6748028      2.8182132 
     0.2867629     -0.8583538     -0.0113182     -0.0061508      0.7662335      0.0601554      2.6682544      2.8266026 
     0.2867629     -0.8583538     -0.0113182     -1.7794680      0.1889974      1.5000370      2.5273499      3.0475463 
     0.2867629     -0.8583538     -0.0113182     -0.0858940     -0.0858739     -1.9806662      2.9332343      2.5692794 
     0.2867629     -0.8583538     -0.0113182     -1.6638093      1.9464579      0.6429780      2.6079576      2.9108247 
     0.2867629     -0.8583538     -0.0113182      1.5644337     -1.1434567     -0.8092336      2.7898125      2.6902503 
     0.2867629     -0.8583538     -0.0113182      0.2504874     -0.0197330     -1.9360785      2.9254467      2.5750074 
     0.2867629     -0.8583538     -0.0113182     -1.8323521      1.1467287      1.7538432      2.5092906      3.0829267 
     0.2867629     -0.8583538     -0.0113182     -0.9432815      0.1453613      2.9585429      2.4064403      3.3305730 
     0.2867629     -0.8583538     -0.0113182     -1.4198507     -0.4350336      1.7148465      2.5049592      3.0917142 
     0.2867629     -0.8583538     -0.0113182     -0.6664507      0.1018116      2.0166751      2.4812413      3.1420650 
     0.2867629     -0.8583538     -0.0113182      1.0929001     -0.2317698      2.9170102      2.4049930      3.3347533 
     0.2867629     -0.8583538     -0.0113182      0.6586375     -0.2929351      0.5833268      2.6161550      2.8985772 
     0.2867629     -0.8583538     -0.0113182      1.6723824     -1.0549887      0.5241480      2.6238897      2.8872647 
     0.2867629     -0.8583538     -0.0113182      0.2292755     -0.4090800     -2.8163581      3.0738534      2.4785828 
     0.2867629     -0.8583538     -0.0113182      0.5452649      0.5728002      3.1513807      2.3958706      3.3616493 
     0.2867629     -0.8583538     -0.0113182     -0.1201551     -0.7987064      1.0927995      2.5632484      2.9827212 
     0.2867629     -0.8583538     -0.0113182      0.1145296     -0.8699896     -1.5804590      2.8933075      2.5995655 
     0.2867629     -0.8583538     -0.0113182      0.7432786      0.0882455     -1.7320694      2.8944844      2.5986392 
     0.2867629     -0.8583538     -0.0113182      0.2579509      1.0795842     -0.0474700      2.6781100      2.8140276 
     0.2867629     -0.8583538     -0.0113182     -1.7433007      2.9598973      0.7699424      2.5962879      2.9287368 
     0.2867629     -0.8583538     -0.0113182      1.9552282     -1.3469840     -3.0979760      3.1673775      2.4291645 
     0.2867629     -0.8583538     -0.0113182     -1.2606996      0.0466199     -1.0809300      2.8071700      2.6736510 
     0.2867629     -0.8583538     -0.0113182     -0.5269255     -1.3684453      1.5251546      2.5180836      3.0654520 
     0.2867629     -0.8583538     -0.0113182     -2.6746107      1.4659051      0.4728812      2.6244942      2.8863903 
     0.2867629     -0.8583538     -0.0113182     -0.6299785      0.4210299      1.4601379      2.5315683      3.0395623 
     0.2867629     -0.8583538     -0.0113182     -0.5213709     -0.1207474      0.2048748      2.6564263      2.8421088 
     0.2867629     -0.8583538     -0.0113182      0.9807809     -1.5916118     -0.2486810      2.7201985      2.7635917 
     0.2867629     -0.8583538     -0.0113182     -0.5048035     -0.6669659      1.4251995      2.5308172      3.0409763 
     0.2867629     -0.8583538     -0.0113182      0.5109942     -0.8381869     -2.5391757      3.0436106      2.4962543 
     0.2867629     -0.8583538     -0.0113182     -0.3520288     -1.1931331     -0.3522094      2.7294385      2.7531771 
     0.2867629     -0.8583538     -0.0113182      0.8140002      2.3808456     -2.1524748      2.9030134      2.5919887 
     0.2867629     -0.8583538     -0.0113182      0.2394776      0.0181145     -1.8274343      2.9090455      2.5873507 
     0.2867629     -0.8583538     -0.0113182     -0.3610294     -0.1767368     -2.7030983      3.0461707      2.4947231 
     0.2867629     -0.8583538     -0.0113182     -1.2573190     -1.0714413      1.6545048      2.5072123      3.0871283 
     0.2867629     -0.8583538     -0.0113182     -0.2084302     -0.2131852      1.2538119      2.5487051      3.0081535 
     0.2867629     -0.8583538     -0.0113182      0.0789788     -1.4142868      1.3156461      2.5388265      3.0260618 
     0.2867629     -0.8583538     -0.0113182      0.9862257      0.2700961     -0.5237460      2.7369530      2.7448701 
     0.2867629     -0.8583538     -0.0113182      1.6928113      0.4905634     -3.9065356      3.2247851      2.4022301 
     0.2867629     -0.8583538     -0.0113182      0.1061749     -1.0800426      0.1943372      2.6617952      2.8350133 
     0.2867629     -0.8583538     -0.0113182      0.5651559     -1.5837211      0.1780383      2.6662420      2.8292085 
     0.2867629     -0.8583538     -0.0113182      1.2206149      0.1738453     -1.9292287      2.9206564      2.5785728 
     0.2867629     -0.8583538     -0.0113182      1.5442710      0.8007408      1.3393441      2.5432516      3.0179745 
     0.2867629     -0.8583538     -0.0113182     -0.0245276     -0.2488844      1.1474129      2.5588930      2.9902247 
     0.2867629     -0.8583538     -0.0113182      0.3522395      0.0558767     -1.5507422      2.8699019      2.6184395 
     0.2867629     -0.8583538     -0.0113182     -0.6335922     -1.0098817      0.2858207      2.6508039      2.8496437 
     0.2867629     -0.8583538     -0.0113182      0.4728107     -0.3180322      0.4799677      2.6272151      2.8824720 
     0.2867629     -0.8583538     -0.0113182      0.2592277      0.7178069     -0.2087320      2.6974885      2.7901716 
     0.2867629     -0.8583538     -0.0113182     -0.0232365     -0.5044732      1.0156192      2.5715329      2.9687066 
     0.2867629     -0.8583538     -0.0113182     -0.9293900      0.1105930      0.3952168      2.6351988      2.8711352 
     0.2867629     -0.8583538     -0.0113182     -0.7448552      1.8685019      0.3058519      2.6396390      2.8649317 
     0.2867629     -0.8583538     -0.0113182      0.3483174      0.2535717     -0.3631448      2.7182188      2.7658524 
     0.2867629     -0.8583538     -0.0113182      0.5057944     -0.6278993      1.4056804      2.5326312      3.0375667 
     0.2867629     -0.8583538     -0.0113182     -0.6408727     -0.9839714     -0.5367662      2.7508444      2.7298848 
     0.2867629     -0.8583538     -0.0113182      0.8970849     -0.1455912      0.1118066      2.6669509      2.8282890 
     0.2867629     -0.8583538     -0.0113182      0.9451185     -0.2997725     -1.4369510      2.8615174      2.6254164 
     0.2867629     -0.8583538     -0.0113182     -0.1331219      1.0242017      0.9266828      2.5817074      2.9519419 
     0.2867629     -0.8583538     -0.0113182      0.8174463      0.8573959      1.4086056      2.5373542      3.0287765 
     0.2867629     -0.8583538     -0.0113182      0.8782050      0.0941546      0.4871014      2.6256146      2.8847734 
     0.2867629     -0.8583538     -0.0113182      0.8448328     -1.3429948     -0.9991547      2.8189844      2.6626981 
     0.2867629     -0.8583538     -0.0113182     -0.0258524      0.6403635     -0.4360251      2.7233281      2.7600391 
